User_ID,Post_ID,Reaction,timestamp
1204,1,0,2022-02-12 04:00:40
1385,1,0,2022-02-08 22:14:46
228,1,0,2022-01-08 13:05:26
228,2,0,2022-04-23 20:22:18
0,2,0,2022-04-06 06:30:16
2022-01-08 13:05:26,2,0,2022-04-02 04:38:37
2,3,0,2022-03-26 04:58:32
2022-04-02 04:38:37,3,0,2022-04-15 08:50:56
2022-01-08 13:05:26,3,0,2022-03-30 03:52:45
0,3,0,2022-03-26 16:31:57
0,4,0,2021-04-19 00:40:43
2022-03-26 16:31:57,4,0,2021-02-18 18:19:41
2022-03-26 16:31:57,4,0,2021-07-13 05:22:47
2021-07-13 05:22:47,5,0,2022-04-25 05:59:14
2021-07-13 05:22:47,5,0,2022-04-20 15:20:39
0,5,0,2022-04-24 12:26:41
2022-03-26 16:31:57,5,0,2022-04-21 13:55:03
0,6,0,2022-04-23 14:40:15
0,6,0,2022-04-17 13:41:34
0,6,0,2022-04-21 14:12:15
2022-04-21 13:55:03,6,0,2022-04-14 20:07:26
2022-03-26 16:31:57,6,0,2022-04-08 06:33:04
2022-04-21 13:55:03,6,0,2022-04-22 06:25:28
2022-03-26 16:31:57,6,0,2022-04-14 14:46:34
0,6,0,2022-04-26 21:36:52
0,7,0,2022-04-08 08:00:02
0,7,0,2022-04-13 11:36:56
2022-04-13 11:36:56,8,0,2022-02-21 22:59:18
0,9,0,2022-04-28 17:09:36
0,9,0,2022-04-28 07:30:46
0,9,0,2022-04-28 03:37:14
2022-04-13 11:36:56,9,0,2022-04-28 20:13:16
9,11,0,2021-03-19 07:26:55
2021-03-19 07:26:55,12,0,2022-04-24 01:53:38
11,12,0,2022-04-16 18:56:20
9,12,0,2022-04-22 14:19:13
2021-03-19 07:26:55,12,0,2022-04-20 17:05:51
2021-03-19 07:26:55,12,0,2022-04-13 02:04:48
11,12,0,2022-04-09 06:48:44
11,12,0,2022-04-14 18:45:35
9,12,0,2022-04-23 14:08:30
9,12,0,2022-04-28 07:52:32
0,12,0,2022-04-12 05:07:26
12,14,0,2022-02-27 15:39:22
0,14,0,2022-01-13 10:28:38
2022-04-12 05:07:26,14,0,2022-01-19 19:05:27
0,14,0,2022-04-18 02:15:40
0,14,0,2022-01-27 13:01:05
0,14,0,2022-04-10 07:49:41
0,14,0,2021-12-28 00:38:24
0,14,0,2022-03-01 14:07:46
0,15,0,2021-12-06 16:00:30
0,15,0,2021-12-01 23:49:21
0,15,0,2021-12-19 17:19:32
14,15,0,2022-02-08 20:33:14
0,15,0,2022-02-02 17:14:42
0,15,0,2022-03-27 23:13:52
14,15,0,2021-12-20 10:55:08
0,15,0,2022-04-08 02:36:09
0,15,0,2022-01-02 12:48:06
0,15,0,2022-01-26 07:36:54
0,16,0,2022-03-30 14:41:01
0,16,0,2022-04-04 08:29:53
15,16,0,2022-04-17 21:30:44
15,16,0,2022-03-11 17:12:53
15,16,0,2022-03-12 18:34:53
0,16,0,2022-04-25 11:44:44
0,16,0,2022-02-16 12:16:20
0,17,0,2020-09-26 16:56:15
0,17,0,2020-05-23 20:31:36
2022-02-16 12:16:20,17,0,2020-05-25 10:19:17
2022-02-16 12:16:20,17,0,2021-01-28 04:15:38
0,17,0,2021-09-05 02:14:13
0,18,0,2021-08-08 03:54:31
17,18,0,2021-05-18 05:47:27
2021-09-05 02:14:13,18,0,2022-03-20 10:57:34
18,19,0,2020-06-24 12:39:54
0,19,0,2022-04-27 05:48:40
2022-03-20 10:57:34,19,0,2021-12-02 21:33:02
0,19,0,2021-06-04 12:56:51
2021-09-05 02:14:13,19,0,2021-06-02 14:37:54
2021-09-05 02:14:13,19,0,2020-12-17 07:09:53
19,20,0,2022-04-12 01:06:56
2021-09-05 02:14:13,20,0,2021-12-07 08:53:31
0,20,0,2021-11-07 07:32:43
0,20,0,2022-02-23 19:46:32
2020-12-17 07:09:53,20,0,2022-01-08 14:44:02
19,20,0,2021-11-18 07:16:26
2021-09-05 02:14:13,20,0,2022-01-13 03:40:14
0,20,0,2021-12-10 03:32:40
0,20,0,2022-02-26 16:55:39
0,21,0,2021-12-01 11:56:42
20,21,0,2021-12-03 19:39:07
0,21,0,2022-01-20 12:36:30
2022-01-20 12:36:30,23,0,2022-04-18 13:28:36
0,23,0,2022-03-09 18:09:44
2022-01-20 12:36:30,23,0,2022-02-15 15:42:30
21,23,0,2022-04-01 06:00:14
2022-01-20 12:36:30,23,0,2022-04-10 00:52:52
0,23,0,2022-01-15 23:40:00
0,23,0,2022-02-12 12:41:08
0,23,0,2022-03-01 04:41:49
21,23,0,2022-04-12 10:00:00
2022-01-20 12:36:30,23,0,2022-01-16 01:51:21
23,25,0,2021-11-08 12:19:28
23,25,0,2022-02-07 05:50:50
0,25,0,2022-01-09 01:17:03
2022-01-16 01:51:21,25,0,2021-12-07 06:06:23
23,25,0,2022-01-16 01:58:36
23,25,0,2021-10-12 14:37:43
2022-01-20 12:36:30,25,0,2022-03-27 14:10:58
